date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:43:42	121451/121451	---M-Z	200	added ('OK')	text/html	etag:W/%223cc24146d13996c2ce4a46c57a351bc1--gzip%22	https://sea-serenity-society.squarespace.com/	C:/My%20Web%20Sites/Sea%20Serenity%20Society/sea-serenity-society.squarespace.com/index.html	(from )
17:43:42	375/375	---M-Z	200	added ('OK')	text/plain	date:Thu,%2013%20Jun%202024%2021:43:44%20GMT	https://sea-serenity-society.squarespace.com/robots.txt		(from )
17:43:42	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Thu,%2013%20Jun%202024%2021:43:45%20GMT	http://static1.squarespace.com/static/66477600af20a8583563ac7d/t/664aa7cf711ca87aad6d88c6/1716168655601/newport.png?format=1500w	C:/My%20Web%20Sites/Sea%20Serenity%20Society/static1.squarespace.com/static/66477600af20a8583563ac7d/t/664aa7cf711ca87aad6d88c6/1716168655601/newport.026f7.delayed	(from https://sea-serenity-society.squarespace.com/)
17:43:44	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/My%20Web%20Sites/Sea%20Serenity%20Society/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://sea-serenity-society.squarespace.com/)
17:43:45	22499/22499	---M--	200	added ('OK')	image/png	etag:CP3diI78moYDEAE=	https://images.squarespace-cdn.com/content/66477600af20a8583563ac7d/86f05260-91fe-4f91-9ced-d1ac6340712c/newport.png?content-type=image%2Fpng	C:/My%20Web%20Sites/Sea%20Serenity%20Society/images.squarespace-cdn.com/content/66477600af20a8583563ac7d/86f05260-91fe-4f91-9ced-d1ac6340712c/newport5d45.png	(from https://sea-serenity-society.squarespace.com/)
17:43:47	45215/45215	---M-Z	200	added ('OK')	text/javascript	etag:%22f4f6593c5ec51c6e0b596e1f91c22f2d%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-b06d7759f347731df566-min.en-US.js	C:/My%20Web%20Sites/Sea%20Serenity%20Society/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-b06d7759f347731df566-min.en-US.js	(from https://sea-serenity-society.squarespace.com/)
17:43:48	90771/90771	---M-Z	200	added ('OK')	text/javascript	etag:%22b4a755c7e39d57314f0f0e17de3a6f69%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-15305921bb94c505cd92-min.en-US.js	C:/My%20Web%20Sites/Sea%20Serenity%20Society/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-15305921bb94c505cd92-min.en-US.js	(from https://sea-serenity-society.squarespace.com/)
17:43:50	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/My%20Web%20Sites/Sea%20Serenity%20Society/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://sea-serenity-society.squarespace.com/)
17:44:00	246078/246078	---M-Z	200	added ('OK')	text/javascript	etag:%226b21148444160fe6785985c22d99a21f%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-3598b219a3c023c1915a-min.en-US.js	C:/My%20Web%20Sites/Sea%20Serenity%20Society/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-3598b219a3c023c1915a-min.en-US.js	(from https://sea-serenity-society.squarespace.com/)
17:44:05	1196455/1196455	---M-Z	200	added ('OK')	text/javascript	etag:%22fbe43b1f7f944c9fde759ab090f61c42%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6f117db4eb7fd4392375-min.en-US.js	C:/My%20Web%20Sites/Sea%20Serenity%20Society/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6f117db4eb7fd4392375-min.en-US.js	(from https://sea-serenity-society.squarespace.com/)
17:44:05	2356/2356	---M-Z	200	added ('OK')	text/css	etag:%22cb9faef3dce4d315747233ff3c671636%22	http://assets.squarespace.com/universal/styles-compressed/user-account-core-e84acd73aa5ee3fcd4ad-min.en-US.css	C:/My%20Web%20Sites/Sea%20Serenity%20Society/assets.squarespace.com/universal/styles-compressed/user-account-core-e84acd73aa5ee3fcd4ad-min.en-US.css	(from https://sea-serenity-society.squarespace.com/)
17:44:08	41137/41137	---M-Z	200	added ('OK')	text/javascript	etag:%22033ce4c8a01fb0c2beadd6275211592b%22	http://assets.squarespace.com/universal/scripts-compressed/performance-a7a9ef7090f793eb4cd4-min.en-US.js	C:/My%20Web%20Sites/Sea%20Serenity%20Society/assets.squarespace.com/universal/scripts-compressed/performance-a7a9ef7090f793eb4cd4-min.en-US.js	(from https://sea-serenity-society.squarespace.com/)
17:44:15	1301543/1301543	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Jun%202024%2021:44:11%20GMT	https://static1.squarespace.com/static/versioned-site-css/66477600af20a8583563ac7d/7/5c5a519771c10ba3470d8101/66477600af20a8583563ac84/1534/site.css	C:/My%20Web%20Sites/Sea%20Serenity%20Society/static1.squarespace.com/static/versioned-site-css/66477600af20a8583563ac7d/7/5c5a519771c10ba3470d8101/66477600af20a8583563ac84/1534/site.css	(from https://sea-serenity-society.squarespace.com/)
17:44:16	206005/206005	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Jun%202024%2021:44:18%20GMT	https://static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/versioned-assets/1718130742063-ZB0N0KP2JGXANVM5KICL/static.css	C:/My%20Web%20Sites/Sea%20Serenity%20Society/static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/versioned-assets/1718130742063-ZB0N0KP2JGXANVM5KICL/static.css	(from https://sea-serenity-society.squarespace.com/)
17:44:16	212872/212872	---M-Z	200	added ('OK')	text/javascript	etag:%2262fe51d63b3c3fd189a44e43bc4e4d56%22	http://assets.squarespace.com/universal/scripts-compressed/user-account-core-502c0c91114edf43d4a1-min.en-US.js	C:/My%20Web%20Sites/Sea%20Serenity%20Society/assets.squarespace.com/universal/scripts-compressed/user-account-core-502c0c91114edf43d4a1-min.en-US.js	(from https://sea-serenity-society.squarespace.com/)
17:44:18	71285/71285	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202024%2021:44:19%20GMT	https://sea-serenity-society.squarespace.com/cart	C:/My%20Web%20Sites/Sea%20Serenity%20Society/sea-serenity-society.squarespace.com/cart.html	(from https://sea-serenity-society.squarespace.com/)
17:44:20	22499/22499	---M--	200	added ('OK')	image/png	etag:CP3diI78moYDEAE=	http://images.squarespace-cdn.com/content/v1/66477600af20a8583563ac7d/86f05260-91fe-4f91-9ced-d1ac6340712c/newport.png?format=1500w	C:/My%20Web%20Sites/Sea%20Serenity%20Society/images.squarespace-cdn.com/content/v1/66477600af20a8583563ac7d/86f05260-91fe-4f91-9ced-d1ac6340712c/newport26f7.png	(from https://sea-serenity-society.squarespace.com/)
17:44:22	680539/680539	---M-Z	200	added ('OK')	text/javascript	etag:W/%22608f59ea92ceeaca1a47a8ed432ce95e%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-c5286e0cb4ba521d34ca-min.en-US.js	C:/My%20Web%20Sites/Sea%20Serenity%20Society/assets.squarespace.com/universal/scripts-compressed/common-vendors-c5286e0cb4ba521d34ca-min.en-US.js	(from https://sea-serenity-society.squarespace.com/)
17:44:26	0/0	---M--	302	error ('Found')	text/html	etag:W/%22ed4c417db1648d348e5f9c29a721a3bd%22	https://sea-serenity-society.squarespace.com/about-1	C:/My%20Web%20Sites/Sea%20Serenity%20Society/sea-serenity-society.squarespace.com/about-1.11.delayed	(from https://sea-serenity-society.squarespace.com/)
17:44:28	91447/91447	---MCZ	200	added ('OK')	text/html	etag:W/%221ffa682cc12698fe70652d66cc28b39c--gzip%22	https://sea-serenity-society.squarespace.com/what-we-do	C:/My%20Web%20Sites/Sea%20Serenity%20Society/sea-serenity-society.squarespace.com/what-we-do.html	(from https://sea-serenity-society.squarespace.com/)
17:44:30	119504/119504	---MCZ	200	added ('OK')	text/html	etag:W/%2256cd43e0fc1abc99a928e7d32c0fdfbf--gzip%22	https://sea-serenity-society.squarespace.com/partners	C:/My%20Web%20Sites/Sea%20Serenity%20Society/sea-serenity-society.squarespace.com/partners.html	(from https://sea-serenity-society.squarespace.com/)
17:44:30	90195/90195	---M-Z	200	added ('OK')	text/html	etag:W/%2213984a499785d04b887a1a7e05dfe7ce--gzip%22	https://sea-serenity-society.squarespace.com/blog	C:/My%20Web%20Sites/Sea%20Serenity%20Society/sea-serenity-society.squarespace.com/blog.html	(from https://sea-serenity-society.squarespace.com/)
17:44:31	133767/133767	---MCZ	200	added ('OK')	text/html	etag:W/%227bd025d6ba0646e440ca1bc07b82ccc3--gzip%22	https://sea-serenity-society.squarespace.com/contact	C:/My%20Web%20Sites/Sea%20Serenity%20Society/sea-serenity-society.squarespace.com/contact.html	(from https://sea-serenity-society.squarespace.com/)
17:44:33	87284/87284	---MCZ	200	added ('OK')	text/html	etag:W/%22244a1d175307d3a3e37806dd761784c2--gzip%22	https://sea-serenity-society.squarespace.com/community	C:/My%20Web%20Sites/Sea%20Serenity%20Society/sea-serenity-society.squarespace.com/community.html	(from https://sea-serenity-society.squarespace.com/)
